id,couse_code,couse_name,couse_year,couse_detail,created_at,updated_at,user_id
113,,โครงงานฐานวิจัย ป.1,2562,วิชานี้เป็นวิชาในวิชาบูรณาการ,2019-09-06 06:35:14.14095,2019-09-06 06:35:14.14095,311
114,,โครงงานฐานวิจัย ป.4,2562,กลุ่มสาระบูรณาการ,2019-09-06 06:35:16.469361,2019-09-06 06:35:16.469361,290
115,,โครงงานฐานวิจัย ป.5/2,2562,กลุ่มสาระบูรณาการ,2019-09-06 06:35:17.135533,2019-09-06 06:35:17.135533,315
116,,โครงงานฐานวิจัย ป.2,2562,วิชานี้เป็นวิชาบูรณาการโครงงานฐานวิจัย,2019-09-06 06:35:17.733946,2019-09-06 06:35:17.733946,316
117,,โครงงานฐานวิจัย,2562,วิชานี้เป็นวิชาในกลุ่มสาระพื้นฐาน,2019-09-06 06:35:20.027813,2019-09-06 06:35:20.027813,299
118,,โครงงานฐานวิจัย ป.2,2562,วิชานี้เป็นวิชาบูรณาการในรายวิชาพื้นฐาน,2019-09-06 06:35:20.639907,2019-09-06 06:35:20.639907,298
119,,โครงงานฐานวิจัย ป.3,2562,วิชานี้เป็นวิชาในกลุ่มสาระบูรณาการ โครงการพื้นที่นวัตกรรมการศึกษาจังหวัดสตูล,2019-09-06 06:35:23.123792,2019-09-06 06:35:23.123792,288
120,,โครงงานฐานวิจัยชั้นป.4,2562,วิชานี้เป็นวิชากลุ่มสาระพื้นฐาน,2019-09-06 06:35:25.091028,2019-09-06 06:35:25.091028,306
121,,การจัดการเรียนรู้ด้วยกระบวนการวิจัย  5  ขั้นตอน  อนุบาล 2/2,2562,จัดการเรียนรู้ด้วยกระบวนการวิจัย  5  ขั้นตอน  ,2019-09-06 06:35:25.511172,2019-09-06 06:35:25.511172,291
122,,โครงงานฐานวิจัย ป.6,2562,วิชานี้เป็นวิชาบูรณาการรายวิชาพื้นฐาน,2019-09-06 06:35:33.035362,2019-09-06 06:35:33.035362,305
123,,โครงงานฐานวิจัย,2562,วิชาบูรณาการอนุบาล 3,2019-09-06 06:35:43.015994,2019-09-06 06:35:43.015994,302
124,,โครงงานฐานวิจัย,2562,กลุ่มสาระวิชาเพิ่มเติม,2019-09-06 06:36:33.272981,2019-09-06 06:36:33.272981,300
125,,โครงงานฐานวิจัย,2562,"",2019-09-06 06:36:38.271215,2019-09-06 06:36:38.271215,296
126,,คณิตศาสตร์,2562,วิชาคณิตศาสตร์ กลุ่มสาระคณิตศาสตร์,2019-09-06 06:36:45.729503,2019-09-06 06:36:45.729503,292
96,,คอมพิวเตอร์,2562,วิชาคอมพิวเตอร์ กลุ่มสาระการงานอาชีพและเทคโนโลยี,2019-09-06 06:27:51.635777,2019-09-06 06:36:56.321614,292
128,,วิทยาศาสตร์,2562,วิชาวิทยาศาสตร์ กลุ่มสาระวิทยาศาสตร์,2019-09-06 06:37:32.175626,2019-09-06 06:37:32.175626,292
129,,โครงงานฐานวิจัย ป.1/2562,2562,จำนวมนักเรียน 15 คน,2019-09-06 06:38:03.265697,2019-09-06 06:38:03.265697,310
130,,สังคม,2562,วิชาคณิตศาสตร์ กลุ่มสาระสังคมศึกษา ศาสนา และวัฒนธรรม,2019-09-06 06:39:00.424854,2019-09-06 06:39:00.424854,292
131,,โครงงานฐานวิจัย/2562,2562,จำนวนนักเรียน 22  คน,2019-09-06 06:39:02.145159,2019-09-06 06:39:02.145159,317
132,,ประวัติศาสตร์,2562,วิชาคณิตศาสตร์ กลุ่มสาระสังคมศึกษา ศาสนา และวัฒนธรรม,2019-09-06 06:39:33.598253,2019-09-06 06:39:33.598253,292
133,,สุขศึกษาและพลศึกษา,2562,วิชาสุขศึกษาและพลศึกษา กลุ่มสุขศึกษาและพลศึกษา,2019-09-06 06:40:40.578732,2019-09-06 06:40:40.578732,292
